#center_z avg_z center_magnorm_agn avg_magnorm_agn number
2.35 2.368 19.5 19.454 5
2.35 2.324 20.5 20.533 13
2.35 2.350 21.5 21.473 15
2.35 2.346 22.5 22.576 40
2.35 2.348 23.5 23.491 61
2.35 2.346 24.5 24.532 100
2.35 2.351 25.5 25.508 131
2.35 2.347 26.5 26.553 198
2.35 2.347 27.5 27.539 322
2.35 2.348 28.5 28.558 531
2.35 2.347 29.5 29.545 969
2.35 2.349 30.5 30.545 1727
2.35 2.390 31.5 31.008 4
2.45 2.441 18.5 18.900 2
2.45 2.448 20.5 20.623 9
2.45 2.446 21.5 21.496 23
2.45 2.451 22.5 22.511 42
2.45 2.446 23.5 23.527 55
2.45 2.448 24.5 24.619 77
2.45 2.447 25.5 25.568 121
2.45 2.454 26.5 26.575 173
2.45 2.445 27.5 27.537 277
2.45 2.448 28.5 28.555 481
2.45 2.448 29.5 29.545 897
2.45 2.448 30.5 30.565 1581
2.45 2.461 31.5 31.052 189
2.55 2.531 19.5 19.255 2
2.55 2.552 20.5 20.685 10
2.55 2.547 21.5 21.634 21
2.55 2.547 22.5 22.573 32
2.55 2.553 23.5 23.489 54
2.55 2.546 24.5 24.537 77
2.55 2.546 25.5 25.485 115
2.55 2.553 26.5 26.487 139
2.55 2.547 27.5 27.546 274
2.55 2.547 28.5 28.544 428
2.55 2.550 29.5 29.540 793
2.55 2.547 30.5 30.548 1444
2.55 2.556 31.5 31.102 384
2.65 2.656 20.5 20.514 4
2.65 2.651 21.5 21.482 12
2.65 2.646 22.5 22.540 36
2.65 2.650 23.5 23.445 33
2.65 2.650 24.5 24.553 54
2.65 2.649 25.5 25.491 84
2.65 2.652 26.5 26.526 156
2.65 2.649 27.5 27.508 242
2.65 2.649 28.5 28.549 369
2.65 2.648 29.5 29.561 674
2.65 2.650 30.5 30.566 1286
2.65 2.651 31.5 31.153 568
2.75 2.739 18.5 18.986 2
2.75 2.739 20.5 20.407 5
2.75 2.760 21.5 21.467 15
2.75 2.758 22.5 22.551 22
2.75 2.749 23.5 23.509 37
2.75 2.748 24.5 24.460 65
2.75 2.748 25.5 25.562 81
2.75 2.754 26.5 26.482 118
2.75 2.752 27.5 27.517 201
2.75 2.749 28.5 28.559 348
2.75 2.747 29.5 29.529 583
2.75 2.750 30.5 30.536 1165
2.75 2.751 31.5 31.201 710
2.85 2.890 19.5 19.728 1
2.85 2.863 20.5 20.475 5
2.85 2.861 21.5 21.596 17
2.85 2.860 22.5 22.471 16
2.85 2.853 23.5 23.541 44
2.85 2.852 24.5 24.525 56
2.85 2.848 25.5 25.531 68
2.85 2.851 26.5 26.536 134
2.85 2.852 27.5 27.574 200
2.85 2.851 28.5 28.540 328
2.85 2.848 29.5 29.531 546
2.85 2.850 30.5 30.558 1032
2.85 2.853 31.5 31.259 775
2.95 2.976 19.5 19.276 2
2.95 2.961 20.5 20.095 1
2.95 2.936 21.5 21.572 8
2.95 2.949 22.5 22.526 18
2.95 2.949 23.5 23.543 34
2.95 2.956 24.5 24.485 52
2.95 2.947 25.5 25.513 76
2.95 2.944 26.5 26.545 103
2.95 2.949 27.5 27.553 160
2.95 2.950 28.5 28.535 278
2.95 2.950 29.5 29.566 472
2.95 2.948 30.5 30.556 929
2.95 2.951 31.5 31.291 828
3.05 3.054 19.5 19.510 2
3.05 3.051 20.5 20.664 7
3.05 3.039 21.5 21.669 5
3.05 3.056 22.5 22.474 14
3.05 3.041 23.5 23.526 27
3.05 3.048 24.5 24.489 44
3.05 3.049 25.5 25.503 60
3.05 3.044 26.5 26.542 105
3.05 3.051 27.5 27.539 152
3.05 3.047 28.5 28.562 287
3.05 3.050 29.5 29.544 450
3.05 3.049 30.5 30.547 853
3.05 3.051 31.5 31.361 973
3.15 3.159 19.5 19.711 1
3.15 3.163 20.5 20.551 5
3.15 3.151 21.5 21.398 10
3.15 3.153 22.5 22.569 25
3.15 3.146 23.5 23.500 39
3.15 3.143 24.5 24.536 50
3.15 3.153 25.5 25.538 49
3.15 3.153 26.5 26.540 98
3.15 3.147 27.5 27.523 140
3.15 3.150 28.5 28.528 239
3.15 3.151 29.5 29.543 388
3.15 3.148 30.5 30.545 745
3.15 3.152 31.5 31.404 929
3.25 3.250 19.5 19.303 2
3.25 3.282 20.5 20.320 2
3.25 3.257 21.5 21.406 5
3.25 3.242 22.5 22.501 13
3.25 3.243 23.5 23.595 30
3.25 3.241 24.5 24.552 43
3.25 3.250 25.5 25.535 62
3.25 3.248 26.5 26.479 73
3.25 3.254 27.5 27.539 123
3.25 3.250 28.5 28.522 200
3.25 3.250 29.5 29.571 357
3.25 3.247 30.5 30.555 668
3.25 3.251 31.5 31.454 927
3.35 3.313 19.5 19.726 1
3.35 3.340 20.5 20.634 5
3.35 3.353 21.5 21.459 3
3.35 3.352 22.5 22.550 24
3.35 3.347 23.5 23.558 21
3.35 3.347 24.5 24.507 37
3.35 3.351 25.5 25.584 53
3.35 3.355 26.5 26.510 83
3.35 3.352 27.5 27.553 146
3.35 3.351 28.5 28.523 193
3.35 3.353 29.5 29.554 341
3.35 3.348 30.5 30.553 568
3.35 3.350 31.5 31.509 953
3.45 3.476 20.5 20.495 2
3.45 3.452 21.5 21.540 4
3.45 3.432 22.5 22.560 14
3.45 3.447 23.5 23.543 24
3.45 3.446 24.5 24.541 39
3.45 3.444 25.5 25.498 40
3.45 3.445 26.5 26.488 66
3.45 3.452 27.5 27.554 84
3.45 3.447 28.5 28.566 184
3.45 3.451 29.5 29.529 271
3.45 3.449 30.5 30.555 542
3.45 3.450 31.5 31.551 961
3.45 3.493 32.5 32.008 7
3.55 3.589 21.5 21.178 2
3.55 3.536 22.5 22.642 10
3.55 3.548 23.5 23.666 18
